date,adj_close,close,high,low,open,volume
2016-06-24,48.892638,49.830002,50.939999,49.52,49.810001,133503000
2016-06-27,47.518973,48.43,49.150002,48.040001,49.099998,50216300
2016-06-28,48.509972,49.439999,49.470001,48.669998,48.919998,38140700
2016-06-29,49.589282,50.540001,50.720001,49.799999,49.91,31304000
2016-06-30,50.207428,51.169998,51.299999,50.50,50.720001,28527800
2016-07-01,50.197618,51.16,51.720001,51.07,51.130001,21400400
2016-07-05,50.207428,51.169998,51.279999,50.740002,50.830002,24806400
2016-07-06,50.41348,51.380001,51.540001,50.389999,50.779999,28167500
2016-07-07,50.41348,51.380001,51.610001,51.07,51.419998,19585200
2016-07-08,51.316172,52.299999,52.360001,51.549999,51.73,28391000
2016-07-11,51.600718,52.59,52.830002,52.470001,52.50,22269200
2016-07-12,52.209054,53.209999,53.400002,52.790001,52.939999,27317600
2016-07-13,52.50341,53.509998,53.860001,53.18,53.560001,25356800
2016-07-14,52.729086,53.740002,53.990002,53.580002,53.84,24545500
2016-07-15,52.689838,53.700001,54.00,53.209999,53.950001,32024400
2016-07-18,52.944945,53.959999,54.34,53.549999,53.700001,31433900
2016-07-19,52.091312,53.09,53.900002,52.93,53.709999,53336500
2016-07-20,54.858264,55.91,56.84,55.529999,56.150002,89893300
2016-07-21,54.750333,55.799999,56.23,55.759998,55.98,32776700
2016-07-22,55.505849,56.57,56.630001,55.779999,56.080002,32157200
2016-07-25,55.662839,56.73,56.740002,56.259998,56.470001,25610600
2016-07-26,55.692273,56.759998,57.290001,56.509998,56.52,28079000
2016-07-27,55.132996,56.189999,56.799999,56.110001,56.610001,32327500
2016-07-28,55.15262,56.209999,56.369999,55.720001,56.00,37550400
2016-07-29,55.61378,56.68,56.759998,56.049999,56.259998,30558700
2016-08-01,55.515663,56.580002,56.75,56.139999,56.599998,26003400
2016-08-02,55.515663,56.580002,56.900002,56.310001,56.849998,35122000
2016-08-03,55.898326,56.970001,57.110001,56.490002,56.68,22075600
2016-08-04,56.310423,57.389999,57.52,56.669998,56.799999,26587700
2016-08-05,56.8697,57.959999,58.209999,57.450001,57.650002,29335200
2016-08-08,56.967822,58.060001,58.09,57.779999,58.060001,19473500
2016-08-09,57.105187,58.200001,58.50,58.02,58.169998,16920700
2016-08-10,56.928573,58.02,58.32,57.82,58.16,15756900
2016-08-11,57.203305,58.299999,58.450001,58.029999,58.029999,18162300
2016-08-12,56.850076,57.939999,58.189999,57.619999,58.029999,21655200
2016-08-15,57.026691,58.119999,58.50,57.959999,58.009998,19283900
2016-08-16,56.710753,57.439999,57.619999,57.27,57.610001,20523500
2016-08-17,56.829232,57.560001,57.68,57.23,57.540001,18856400
