Date,adj_close
2017.1.2,1145.9
2017.1.3,1151
2017.1.4,1164.3
2017.1.5,1176.7
2017.1.6,1175.9
2017.1.9,1178.5
2017.1.10,1189.5
2017.1.11,1178.6
2017.1.12,1205.1
2017.1.13,1190.4
2017.1.16,1203
2017.1.17,1216.1
2017.1.18,1214.8
2017.1.19,1196.1
2017.1.20,1200.6
2017.1.23,1212.9
2017.1.24,1216.8
2017.1.25,1195
2017.1.26,1189.7
2017.1.27,1184.9
2017.1.30,1192.8
2017.1.31,1212.8
2017.2.1,1203.7
2017.2.2,1222
2017.2.3,1215.2
2017.2.6,1226.8
2017.2.7,1231
2017.2.8,1242.1
2017.2.9,1236.8
2017.2.10,1228.3
2017.2.13,1222.3
2017.2.14,1230.8
2017.2.15,1224.4
2017.2.16,1240.6
2017.2.17,1242
2017.2.20,1237.3
2017.2.21,1233.2
2017.2.22,1236.7
2017.2.23,1247.9
2017.2.24,1253.7
2017.2.27,1257.2
2017.2.28,1255.6
2017.3.1,1240.4
2017.3.2,1238.1
2017.3.3,1226.5
2017.3.6,1231
2017.3.7,1216.7
2017.3.8,1209.2
2017.3.9,1206.6
2017.3.10,1202.7
2017.3.13,1204.2
2017.3.14,1204.6
2017.3.15,1198.8
2017.3.16,1229.4
2017.3.17,1229.6
2017.3.20,1232.4
2017.3.21,1241.6
2017.3.22,1249.1
2017.3.23,1247.5
2017.3.24,1247.5
2017.3.27,1257.6
2017.3.28,1257.3
2017.3.29,1251.1
2017.3.30,1248.8
2017.3.31,1244.9
2017.4.3,1247.3
2017.4.4,1257.7
2017.4.5,1245.8
2017.4.6,1252.5
2017.4.7,1266.5
2017.4.10,1250.1
2017.4.11,1252.9
2017.4.12,1274.3
2017.4.13,1284.2
2017.4.14,1284.2
2017.4.17,1284.2
2017.4.18,1279
2017.4.19,1279.1
2017.4.20,1282.1
2017.4.21,1281.9
2017.4.24,1269.4
2017.4.25,1267.8
2017.4.26,1261.9
2017.4.27,1262.8
2017.4.28,1266.5
2017.5.1,1266.5
2017.5.2,1255.5
2017.5.3,1250.3
2017.5.4,1228.5
2017.5.5,1228.1
2017.5.8,1229.8
2017.5.9,1220.4
2017.5.10,1223
2017.5.11,1223.2
2017.5.12,1231.3
2017.5.15,1233.3
2017.5.16,1234.2
2017.5.17,1257.4
2017.5.18,1255.9
2017.5.19,1252
2017.5.22,1258.85
2017.5.23,1260.2
2017.5.24,1252.55
2017.5.25,1256.95
2017.5.26,1265.05
2017.5.30,1262.7
2017.5.31,1266.2
2017.6.1,1264.85
2017.6.2,1274.95
2017.6.5,1279.95
2017.6.6,1293.5
2017.6.7,1291
2017.6.8,1273.1
2017.6.9,1266.55
2017.6.12,1266.4
2017.6.13,1262
2017.6.14,1275.5
2017.6.15,1254.55
2017.6.16,1255.4
2017.6.19,1248.15
2017.6.20,1242.2
2017.6.21,1242.5
2017.6.22,1250.8
2017.6.23,1255.7
2017.6.26,1245.25
2017.6.27,1249.55
2017.6.28,1248
2017.6.29,1243.5
2017.6.30,1242.25
2017.7.3,1229.25
2017.7.4,1223.75
2017.7.5,1220.3
2017.7.6,1224.9
2017.7.7,1215.65
2017.7.10,1211.9
2017.7.11,1211.05
2017.7.12,1218.8
2017.7.13,1218.9
2017.7.14,1230.3
2017.7.17,1234.1
2017.7.18,1240.75
